auc,f1,accuracy,model,split,seed,dataset
0.6447628636151164,0.6632390745501285,0.6147058823529412,RandomForest,temporal,123,promise_lucene
0.6309373988709504,0.6511627906976745,0.6029411764705882,XGBoost,temporal,123,promise_lucene
0.6269821293732696,0.6530612244897959,0.6,LightGBM,temporal,123,promise_lucene
0.6814210204595303,0.656084656084656,0.6176470588235294,SimpleMLP,temporal,123,promise_lucene
0.6749128042860739,0.6737400530503979,0.638235294117647,ResNet,temporal,123,promise_lucene
0.7505303656826436,0.749379652605459,0.7029411764705882,FTTransformer,temporal,123,promise_lucene
0.7516469038208169,0.6530612244897959,0.6751592356687898,LogReg,random,456,promise_lucene
0.6940052700922266,0.6503067484662577,0.6369426751592356,RandomForest,random,456,promise_lucene
0.6824769433465085,0.6257668711656442,0.6114649681528662,XGBoost,random,456,promise_lucene
0.6893939393939394,0.6463414634146342,0.6305732484076433,LightGBM,random,456,promise_lucene
0.7030632411067192,0.6931818181818182,0.6560509554140127,SimpleMLP,random,456,promise_lucene
0.6684782608695652,0.6545454545454545,0.6369426751592356,ResNet,random,456,promise_lucene
0.7508234519104084,0.718562874251497,0.7006369426751592,FTTransformer,random,456,promise_lucene
0.7082089820574593,0.6444444444444445,0.6235294117647059,LogReg,temporal,456,promise_lucene
0.6391176153320628,0.6580976863753213,0.6088235294117647,RandomForest,temporal,456,promise_lucene
0.6248966236381288,0.6194225721784777,0.5735294117647058,XGBoost,temporal,456,promise_lucene
0.6335622595375929,0.673469387755102,0.6235294117647059,LightGBM,temporal,456,promise_lucene
0.6681888461400165,0.6557377049180327,0.6294117647058823,SimpleMLP,temporal,456,promise_lucene
0.6429470353457265,0.5971014492753624,0.5911764705882353,ResNet,temporal,456,promise_lucene
0.7287044694545325,0.6593406593406593,0.6352941176470588,FTTransformer,temporal,456,promise_lucene
0.6809964263191087,0.6600660066006601,0.6268115942028986,LogReg,random,42,promise_poi
0.6645469833928948,0.60431654676259,0.6014492753623188,RandomForest,random,42,promise_poi
0.6867511036367459,0.6105263157894737,0.5978260869565217,XGBoost,random,42,promise_poi
0.6901671221357999,0.6035087719298246,0.5905797101449275,LightGBM,random,42,promise_poi
0.6878810174479714,0.6824324324324325,0.6594202898550725,SimpleMLP,random,42,promise_poi
0.7132646626024807,0.6905537459283387,0.6557971014492754,ResNet,random,42,promise_poi
0.7411183519024596,0.7204968944099379,0.6739130434782609,FTTransformer,random,42,promise_poi
0.6809862735129639,0.7477313974591652,0.6855203619909502,LogReg,temporal,42,promise_poi
0.6997082292610685,0.654320987654321,0.6199095022624435,RandomForest,temporal,42,promise_poi
0.6918834685351782,0.5701559020044543,0.5633484162895928,XGBoost,temporal,42,promise_poi
0.701808094427621,0.5707865168539326,0.5678733031674208,LightGBM,temporal,42,promise_poi
0.6549479454477134,0.5591397849462365,0.5361990950226244,SimpleMLP,temporal,42,promise_poi
0.6409120045975996,0.5822784810126582,0.5520361990950227,ResNet,temporal,42,promise_poi
0.7904445082999934,0.7892976588628763,0.7149321266968326,FTTransformer,temporal,42,promise_poi
0.7101902459533319,0.6775244299674267,0.6413043478260869,LogReg,random,123,promise_poi
0.6591076308597856,0.6116838487972509,0.5905797101449275,RandomForest,random,123,promise_poi
0.682494219045617,0.5857142857142857,0.5797101449275363,XGBoost,random,123,promise_poi
0.6794986335926004,0.5845070422535211,0.572463768115942,LightGBM,random,123,promise_poi
0.755124027748581,0.6733333333333333,0.644927536231884,SimpleMLP,random,123,promise_poi
0.7542831616565062,0.6900958466453674,0.6485507246376812,ResNet,random,123,promise_poi
